intendedcollegemajor,total,readingwriting,math,testtakers,percent
"Agriculture, AgricultureOperations, and Related Sciences",977,496,481,24913,0.01
Architecture and Related Services,1047,520,527,28988,0.02
"Area, Ethnic, Cultural, and Gender Studies",1040,536,504,2629,0.0
Biological and Biomedical Sciences,1139,572,566,155834,0.08
"Business, Management, Marketing, and Related Support Services",1072,534,537,221523,0.12
"Communication, Journalism, and Related Programs",1069,550,519,36332,0.02
Computer and Information Sciences and Support Services,1156,571,585,79736,0.04
"Construction Trades, General",919,459,460,2500,0.0
Education,1022,519,503,71882,0.04
Engineering,1139,559,581,194127,0.11
Engineering Technologies/Technicians,1041,512,528,33595,0.02
English Language and Literature/Letters,1119,585,533,16233,0.01
Family and Consumer Sciences/Human Sciences,953,484,469,6469,0.0
"Foreign Languages and Literatures, General",1102,566,536,9936,0.01
Health Professions and related Clinical Sciences,1048,529,518,331026,0.18
"History, General",1090,563,527,12611,0.01
"Legal Studies, General",1104,564,540,35788,0.02
"Liberal Arts and Sciences, General Studies and Humanities",1140,584,556,8611,0.0
Library Science/Librarianship,1105,577,527,283,0.0
Mathematics and Statistics,1242,597,646,16508,0.01
Mechanic and Repair Technologies/Technicians,916,458,458,6592,0.0
Military Technologies,984,498,486,7448,0.0
Multi/Interdisciplinary Studies,1155,581,574,2979,0.0
Natural resources and Conservation,1104,562,543,10147,0.01
"Parks, Recreation and Leisure Studies",960,482,478,13039,0.01
"Personal and Culinary Services, General",929,474,456,6668,0.0
Philosophy and Religious Studies,1120,572,548,3381,0.0
Physical Sciences,1203,597,606,26318,0.01
Precision Production,932,466,466,319,0.0
"Psychology, General",1064,546,518,75626,0.04
Public Administration and Social Service Professions,1001,513,488,7852,0.0
Security and Protective Services,975,495,479,68177,0.04
Social Sciences,1164,594,570,33356,0.02
Theology and Religious Vocations,1096,561,535,1991,0.0
Transportation and Materials Moving,1019,511,508,1105,0.0
"Visual and Performing Arts, General",1045,536,510,130642,0.07
Other,963,488,476,26888,0.01
Undecided,1069,538,532,126939,0.07
